sequence_date,consumption
2023-11-01 01:00:00,4057.407063260719
2023-11-01 02:00:00,4039.692288085445
2023-11-01 03:00:00,4032.562577262057
2023-11-01 04:00:00,4094.911551106513
2023-11-01 05:00:00,4305.908121309607
2023-11-01 06:00:00,4484.446155073559
2023-11-01 07:00:00,4623.276188725442
2023-11-01 08:00:00,4784.894448853226
2023-11-01 09:00:00,4826.412018942094
2023-11-01 10:00:00,4790.581498190441
2023-11-01 11:00:00,4734.338755305194
2023-11-01 12:00:00,4784.937738807007
2023-11-01 13:00:00,4770.413645385523
2023-11-01 14:00:00,4743.0945582900285
2023-11-01 15:00:00,4738.794431587658
2023-11-01 16:00:00,4782.4016838685575
2023-11-01 17:00:00,4872.771701651998
2023-11-01 18:00:00,4774.267543063912
2023-11-01 19:00:00,4713.098360837744
2023-11-01 20:00:00,4700.512646062655
2023-11-01 21:00:00,4564.416512627843
2023-11-01 22:00:00,4415.97845423844
2023-11-01 23:00:00,4243.17486595859
2023-11-02 00:00:00,4171.345065669879
